x,w,pv1,pv2,pv3,pv4,pv5
-1.5850621177,1.1872770486,450.6175006645,402.4054081600,401.1791128691,388.8996033129,399.0683084690
-1.7603815465,0.8396471716,495.6057430062,495.0017522455,493.5515019265,478.8890422236,484.3938283048
-0.3588993789,0.6858897775,535.9143826602,548.6070151129,540.0682488160,539.7454115522,550.1903751045
1.1634528081,0.6675921106,549.0722213124,530.5733079173,548.3873919633,538.5303898943,549.5597754388
1.1793173129,1.3881407427,560.6349725176,556.2046887282,557.1364143147,541.1869962198,574.8338726501
-0.6517323256,1.4186148574,500.1823023765,503.6785133595,462.3853747005,486.6474357216,523.5505541096
0.4899233136,0.8758797173,529.7321155745,519.1089171177,529.1718737727,491.6649354820,534.9016225620
-0.5309789381,1.1746187273,497.5358287602,472.5708699556,495.4542432250,456.5954495522,513.7589090779
-2.1997884884,0.7839453155,440.9127981634,446.7003075039,446.0736176676,417.7829471621,445.0971721725
0.2802081363,1.4949884687,466.7917478110,471.9458607954,488.5882455996,463.8143710603,469.7651483167
-1.5981568869,0.9851784059,432.1298131812,416.8036124351,418.1367507388,427.3628522522,434.0156207995
-0.9281376214,1.3100756453,446.6207026203,447.6578483137,450.9001445839,464.7180645375,464.9552334939
-0.4326122303,1.2257723799,489.4465712730,488.4334728777,452.9999405741,456.5257520773,490.5726580949
-1.3098051202,1.4455813123,393.8351107376,386.8509196191,385.0106517229,377.4987673889,377.1645299625
2.8566634968,1.4671235872,656.6855645565,648.3880712533,637.9235269650,628.7606744124,629.7468005117
-1.8360653491,1.4230992794,447.7425431924,476.7944303258,454.4472564480,439.1970184160,474.9370622726
0.2711949987,1.2394781343,503.0461297325,520.1066030444,491.5266373925,484.3193661059,491.1582669403
1.2272944136,0.6726801316,584.7141380371,565.4838624938,556.4889221169,588.3803761306,595.8367218476
-0.3912371553,1.0667633747,460.1479658865,456.0716269493,461.5017910988,456.0026563543,472.9315964536
-1.1009407813,0.5016456302,495.6436470029,477.0407117426,487.8607699994,503.1020603125,474.2154142622
-1.1300739933,1.0903897756,486.5683642225,499.9484999358,456.5146074280,478.4955267066,511.1544864764
-0.7361654866,0.8433548433,397.6073215965,390.4529604672,351.4096729887,434.6909396027,376.7557786349
-0.0114021524,1.4631746232,513.7653305355,529.6332446265,538.1613626205,518.0788570530,514.7360439460
0.4858213658,1.0703177934,480.0730188642,477.9198374257,454.7143047844,451.7106624290,450.2464035297
0.4764662418,0.5054129343,478.6978380742,460.8577660635,477.1989087416,460.2839752401,463.3518266329
-0.1252020794,1.1206666776,455.1049006534,499.2481806267,469.7718253106,495.0784142010,439.2125268495
-0.3271098160,1.1120657877,543.0977413054,561.2661785684,562.9994746205,556.4783231590,547.4386540881
-0.9924774077,1.4761223730,467.8678367955,479.5327917624,462.4141021367,448.7180951375,435.7041390549
-0.6137166394,0.8360367215,526.7463846408,504.4755425958,522.0793618571,508.0729686704,533.5473311874
1.0214637967,0.6545591769,535.9989258707,517.1468864478,549.2944419544,512.2917582171,534.5983619616
-0.7165926826,0.7639565275,503.8066416490,528.1694797229,470.7040360020,488.9940825125,504.3550094509
0.3656860472,1.4720501502,468.6580972538,467.4449128529,457.1418154806,473.7461396663,474.3379057605
0.1898133948,1.1891568953,597.1890014987,571.8609518754,582.8072045316,585.2407264068,599.0298960650
0.3407491474,0.6354486847,499.1432775670,509.8250273827,520.3572742502,515.6421902257,503.5490402395
0.8478461593,0.7743329124,612.2287297485,608.4100148471,610.7667110091,619.9532467375,611.1941026008
-0.3607703770,0.7823265544,466.0071539463,462.6856422639,485.2275786894,464.9741363816,486.7660915760
-0.6358894420,0.6026419478,505.2919281258,494.6393035027,500.7152032899,501.2087643029,534.8755894664
-0.8233833848,1.1484843646,532.6050850565,521.3854858115,511.8752991895,539.3439286808,498.6700235234
1.8833089092,0.5968231023,566.2832635895,563.2661090988,563.4103672054,613.0514812520,576.0875027692
-0.3213948731,0.7678160646,497.2520737061,500.4070916577,498.4453767931,509.8855220538,463.9918585235
-0.5610221225,1.1427714184,487.4216228263,456.8050734441,457.6194455775,489.3213433067,458.4780891995
-0.2686915910,1.1795314297,512.5908833569,526.3086160440,532.2831238947,486.9896024289,516.2492361664
0.7077194736,1.1060137544,534.9014171688,528.1982317724,537.4994906418,519.4765519153,534.0529327543
0.3553892141,0.8650232248,537.9293308455,506.0594092838,529.0435198327,534.2409913369,546.7032865475
-0.9861608752,1.0124261605,417.4383495907,406.0541162424,413.7035186843,409.7485623428,379.1905211750
0.8609445801,0.9095735226,483.1266156906,522.0710148985,465.1391767686,492.6958394359,477.2670866742
0.8234772044,1.1614079338,512.0436717460,542.2516856939,494.1863606993,521.8424767108,491.3785436824
-0.8122433452,0.9891626844,438.8487445076,442.7678374363,447.9436874522,440.4894629072,459.0425977452
0.0462063553,0.7784734471,492.8986851048,492.9477455146,472.0305734525,501.1565499788,511.3476497601
0.0305632459,1.2880891641,544.2622082466,516.8673358941,541.5266575189,540.7115494773,567.0827993575
0.7340146927,1.4118869463,561.2082977671,551.1412406164,552.7702663634,595.1451155566,580.2027667455
0.2102002414,0.5700996937,492.9365649043,471.3706407250,499.0440009171,488.7779842123,488.4489877079
-0.9081142883,0.5418451808,495.2536604224,493.1623398535,481.4478759528,490.9785824723,498.2353386430
-1.4624084966,0.8302285795,454.9468471298,452.2284415044,450.6942379546,474.3650975262,455.7745914589
-0.0463099862,0.9119375162,518.5103263112,512.1358697812,557.5677323884,536.2201968799,516.6735202164
-1.6919027181,1.3313019406,456.0772903145,466.3224191812,481.1533046027,477.6034508293,472.1978252436
1.9063494868,0.8964722904,526.6691642629,519.8823360229,507.4596876489,484.7458071892,528.5779845692
-0.6923223340,0.6168146222,442.4062737805,463.4400205871,447.2234556697,447.8123838639,476.1163186206
-0.0516363693,0.6332745864,487.1338194920,521.2452923515,478.6343035842,501.0588541785,507.5438606277
0.6993208707,1.0151849210,467.3900976633,475.7300328652,479.7475195681,498.1651620718,478.0332406633
-0.4883011359,0.8199228875,489.5381683907,478.9079971514,507.7027733274,507.1152278776,498.0462039158
-0.6593214297,0.9065141743,429.7720908136,405.8070544701,417.6356446596,453.3808091314,429.9682088630
0.5519487217,0.6841610624,507.5369342236,526.4476057100,545.5024843911,519.8865975469,565.6265353277
1.6216560012,1.0273761873,556.2408795977,546.4983017448,567.1828992825,568.7016267861,531.3663503653
-0.6728227175,0.9825614595,463.1979563282,482.5584294877,478.8242193055,450.4976546928,493.3149038480
-0.0951490270,0.7864723005,520.2347622992,525.0125232397,518.3920339914,503.2049793939,519.3414565545
-2.5455426308,0.9718069495,429.6909164905,473.0876886803,475.7122953483,468.4277525190,452.0737864664
-0.5685528236,1.2546408635,511.2567806022,509.8815449094,502.7384455679,515.7788278127,481.2624964150
0.8268184611,1.2968716545,576.9862382156,527.6237384786,542.3456857202,550.2514765306,565.9998339384
0.9081000466,0.6782891804,454.6434583403,452.5839431292,470.3483791319,482.6526609333,473.9256683272
-1.7881267135,0.5293850577,429.7967311253,451.3188884390,468.3297889820,429.6169963802,471.5455765568
-1.6149849369,0.6897342235,513.6029029863,502.3064669179,489.1385896280,461.3183710020,487.4021259547
0.7552725000,1.4952468071,406.3663664826,418.7375206313,415.3794737784,425.9175814242,410.8504033679
0.1908750417,1.4265821693,483.9974873141,463.0093330703,445.8622765930,462.2023072101,470.2227267058
0.1356979230,1.0077730061,492.5390935186,501.5928525120,526.0989087051,502.3270516183,495.2576949963
0.0945988061,1.4548458224,523.7189675305,528.1479755521,568.7259565894,539.0599493957,532.3895841555
0.7210855793,0.7593514058,520.9858578699,506.9670509537,519.1608016385,523.1734010725,497.7551365749
0.3376537924,0.5883620053,464.1148394388,460.6681000734,468.0317334156,459.8222460657,441.8399508449
0.6232583727,1.1222701115,525.8941064350,489.3839073148,521.7302231883,478.1780735132,481.1554566233
1.1670700310,0.6884397226,535.9172153789,499.0195951956,529.5337046273,537.1671191542,534.0725544953
0.5839365027,1.1647733769,502.1203274545,525.0609996109,475.6972273450,494.4016950304,458.7178053432
1.0183109444,1.3362162171,512.3448121938,476.6855947444,503.1331144328,511.6519099637,546.2543955742
-1.2232134124,1.0149069459,493.8112298494,518.3250780989,514.0825430858,518.2848313419,513.1158293001
-0.3218524353,0.5281352696,510.3461951844,509.3002769897,498.5034444536,528.2421255893,500.7113246415
-0.7162812659,0.9690987763,488.3835115151,475.3395107767,474.1279225001,466.3568850454,448.9707774272
1.5988434348,1.3320662230,603.8528303824,563.3622639967,549.4552274165,567.2634882477,569.3465593185
-0.2260077022,1.1642247499,520.1922433694,514.1958885344,486.5072574856,514.5006791789,530.4161487387
-0.7412743165,0.8203379530,520.5162409292,537.0799713465,537.1231153808,536.5192155147,508.9763920293
0.8221848787,1.1021094697,503.9940414158,528.3814978713,535.6597452301,499.8582853312,501.7901532672
-0.3649389492,0.9104390112,392.4774417763,401.8829583988,403.7561479040,433.9661492269,459.2064763310
0.9508699070,0.9384817467,463.5834355156,486.6651885702,474.5505423017,448.9713048225,473.4541543139
-0.4065474263,1.1176965469,404.6610936994,411.4376435723,384.7429543533,410.5307019847,407.4532640402
-2.1226957338,1.1640274157,382.0035742810,402.5266596920,426.7296503824,402.0366767957,404.3460936770
-1.2353098914,0.9965781062,465.4227381966,449.5719918875,479.9462209144,448.4817988018,474.6729459586
1.1436219326,0.5598883557,559.4377668586,546.5326877574,538.3699444190,553.3588960022,509.3192550163
1.9170742878,1.1708314579,547.9771710350,546.7344571727,551.8246643461,560.7418746575,564.2669381769
-0.6241126487,1.0257067599,447.4492114045,438.9692526280,437.5894501183,440.2483497008,405.9940056865
-0.5106021357,0.9691284916,547.7725460116,561.5222534821,531.0364359587,527.4209214254,518.6988010953
-0.3958823021,0.8871034607,520.6455339583,530.7005018277,499.7024279437,508.9920513793,516.4057201668
0.3847328963,0.7530581737,447.8967770097,459.1967460332,476.9042858268,481.9644753965,471.3023675248
-0.7614763682,1.2160359463,483.6651408277,463.1162321871,489.3284059101,485.5991333246,498.0146104406
-0.5841064157,1.3336844137,457.4091451544,442.2459431507,437.0658758908,481.0287687859,449.5362140119
-1.4717303301,0.7790148244,446.6758067793,485.3092646972,493.0902138721,465.9675632858,492.6260591670
-2.0373291509,1.0597673059,464.3750920048,467.6339075347,491.8616841787,463.6735491202,479.8249526213
0.0463353071,0.6288685855,503.7020875531,539.2444189859,510.0882792837,507.6124319870,524.8141438720
-0.6143702207,1.2482470716,594.4557932985,577.3797507808,574.8625701863,581.0058354854,564.8634911060
2.5244293993,1.2575389931,591.8574046272,575.7649573262,574.1770465199,570.2828460986,627.0056893450
-1.1166135978,1.2330904198,477.7138671318,445.2937285558,451.7173656316,477.1863890407,473.2690707901
0.3039764259,0.9770083185,500.5535626704,505.0161997974,495.5404263170,474.2408515902,530.0426459819
1.5160898821,1.4213551960,533.1555117669,567.0867530677,528.4481069873,531.2168417316,540.6513041062
-0.5997152674,0.8149302946,517.3198524505,479.1417989219,485.5690107274,457.6375766883,489.3824982063
0.9671863300,0.5357846983,558.5009093440,509.2780072136,529.1228124268,517.5872952510,528.1561470933
-1.4038991024,0.8999977105,426.7940255891,471.4824409429,465.2371977117,463.1675563581,449.3238612285
-1.4196776797,1.1926552919,498.1553972119,497.7321651965,532.1616037997,483.1602733511,510.7821771162
-0.2602591386,0.7083480505,490.7196513908,457.3209796741,465.8008310791,486.7838134078,495.6131935042
0.5611866981,0.6089901214,554.1155469935,508.5553658106,556.0560036773,527.4380360785,544.4582526661
0.4964445043,1.3899144195,551.4805609437,580.0254034559,530.3478790133,546.2329081760,522.3243117046
1.1991200354,1.4247276275,506.2918575490,494.3030981233,531.3920295716,545.9297173022,522.1809686830
-0.4917139938,0.9949233646,511.4316585350,512.2145713038,503.6213515647,523.7926479989,492.2266614699
-0.5787711415,0.7180712849,486.9808410569,517.6069237801,520.4866033821,521.0739193157,505.7855570531
-1.0040207416,1.0422116774,512.2915806142,505.6633131490,533.1463831112,503.6943647755,504.8185071471
0.3780188000,0.7976173200,494.6487340754,454.2934500500,461.6137282934,467.1625397713,492.6449203246
-0.1506958671,1.1936059487,455.8621309930,448.1595423086,434.3377711474,457.5272711244,471.4387589179
-0.7276380857,1.0759875427,492.2337201715,509.0100911680,492.6644176515,483.7326898884,489.1065578639
-1.2594885817,0.9810266162,464.7333795428,440.1266898577,474.0695780185,455.7956953766,451.8869513149
-0.0181196346,0.8272773710,524.9257086459,474.1646766519,510.4405451900,507.3182355117,520.4557109838
0.2694091457,0.5843303129,597.6144195818,579.7426741340,580.1112374274,571.9054504693,576.4334972271
0.6775387283,0.8704401548,473.6177647330,469.4077536810,535.0385608065,490.4269693849,529.5522760753
0.8069996845,1.4628057694,460.0668907697,436.1609549376,492.1183605086,464.8177089300,439.3722159786
-0.7723342916,0.6000800920,538.4399147400,524.9883687224,512.1309065790,511.1712840457,526.3553435369
-0.2579266821,0.7825695074,500.8074110591,500.2273671465,481.2775933677,482.4925233814,485.5766794159
0.5699893213,1.0301152989,526.4079836065,522.1335786591,541.1105778909,526.1743594402,542.2307318269
0.1961650601,0.6906533984,494.0147718011,511.1705253978,519.1497899453,504.6258443753,497.4027599174
0.3908030446,1.1966485966,432.6502597912,437.5370266583,456.9765685073,448.4512890268,445.5673139448
1.2953483628,0.8711233949,497.8230895311,496.9976646980,493.6645764505,487.6327711398,453.0978288855
0.0699089816,1.3048815706,487.7363899060,508.4742872587,492.3335172035,485.0420472442,491.3047003547
-0.8619585432,0.5891818982,450.0797969479,480.4303809403,468.7100506454,507.3683495644,472.3695271035
0.2808695092,1.2097611879,538.9970538777,508.4635263983,509.5297452001,509.0131952401,496.0292779498
0.2585485811,1.2164121158,606.1503286102,573.9084798136,593.1444803391,579.9817962926,560.4179139067
2.2079607132,1.3354917972,577.1929212705,571.5014510443,593.2728984676,558.7334202988,595.5464416862
1.2062616502,0.8294676980,531.6174485508,517.9122960672,521.4275219025,509.7810850799,517.0337594291
0.9973235298,1.2119602370,549.5207972360,540.8211817233,534.2557762677,514.6123775550,546.4970992994
-0.2977700526,0.9058549423,465.9997091155,463.4125716082,455.6098153500,458.9896544990,496.7936333614
-1.8733762330,0.7591469565,473.5827413016,449.3115236919,441.4115958360,418.0890661535,465.9852951091
-0.8246536129,1.0149228293,496.8397269294,500.6736601207,486.9128910889,514.8980413914,508.8085864798
-0.0576458118,0.6982902572,503.1551173388,488.4091440151,490.3705950734,490.3807068616,480.3001547921
-0.1198600498,1.0310644191,510.0253040590,496.9659192928,551.9279322378,503.1784276024,512.3745102213
0.8389067754,0.5005772216,537.9534546611,508.7883522920,523.8491894798,525.1403242214,514.2050607087
0.6155723865,1.3780816628,468.9550146027,516.5129708267,513.2419178194,510.0024484640,496.0683539785
0.7369518469,0.7414019092,553.1928274556,543.6063955588,547.9881250721,540.0819271642,551.2890670447
0.2532911282,1.4655367089,500.4904194364,461.5884668381,490.5049940112,511.9483899901,483.8893414507
1.3047051555,1.0773195843,505.4344632096,528.5013738643,533.9485949529,517.9900650324,529.2037034876
0.1050291753,0.8014132355,489.7715619565,512.2755283867,517.7508118436,499.8524136411,534.5385561534
-1.4103055923,0.7158678963,381.7323558556,431.5733656073,409.2840035934,426.1137948691,416.6048214635
1.1041961717,0.5306002283,556.9505941180,539.0999755733,529.4790875902,529.4048236375,574.7331150034
0.0705173549,1.0525669204,507.5857582007,481.6143474280,512.6486930415,474.4084198643,516.7723085354
-0.4382673599,1.1758260906,449.0448999199,465.9315309236,452.8954300070,434.4431335667,452.3432231832
0.7324779029,1.1783005372,554.4538283430,567.9472734992,558.6666158571,557.2946564753,546.3024380251
0.7361285071,1.4908373796,495.5847941892,472.3838044764,515.4981898119,483.3619083315,474.7600536613
-0.1676414468,1.2533996138,488.2506723584,532.3136841266,494.0869595860,491.3109740541,484.2628413708
1.8266918250,1.3672183566,579.6532776081,582.7675259402,567.9089304350,556.1321048031,546.1722682904
0.4654060657,1.1034863077,580.3169091001,572.7657588289,587.1527368527,603.1535530204,590.9177822025
-0.5763833471,0.5705019061,414.1180773328,429.1045311795,450.3435059270,444.3962109912,425.2824775773
-0.0234586902,1.3004142570,436.4456751817,439.5185868679,413.2154978706,432.5510400309,411.3320379775
-1.1424231923,1.2266643296,449.4023715200,429.8372444996,448.3616357524,407.1665258449,438.4810160591
0.0135511905,0.8493954670,445.4164749216,455.2209965497,460.9401408678,467.3074997354,453.8442220717
1.8666980803,0.5554397858,530.3020183149,518.8565538210,513.0972077015,534.7451239176,531.7012715800
-0.3359191421,0.9649528721,444.1118234343,459.6277979331,453.8115229052,451.6709264543,457.3286429294
-0.9086957760,0.6887493730,497.5593675864,516.2624123309,508.6959414811,455.3867843913,513.7498840383
-1.8746624952,1.3799117210,408.5930613382,412.7094713601,428.2055343146,447.1326120060,454.8960043625
0.9925426561,0.6271661627,605.6859462232,586.0926738718,612.8162152389,573.2984083061,579.7207044798
-0.3590577755,1.0882493374,457.4240318116,433.9092598240,423.5518323618,459.2010303406,477.6078990958
-0.6842921592,1.2836984680,428.0281168022,432.9292993035,464.4340687523,439.5370964164,421.7371198144
-1.0458565196,0.6621386297,505.5100464989,462.4721522014,488.2990578911,460.4419754339,479.3802961246
-0.9010123259,1.0295945378,432.7937776756,456.3294086643,440.3395679383,445.8836843523,437.0153153124
2.5906748977,1.2218422769,511.3894728843,523.7025078523,528.5620030522,524.4347863086,515.3816931026
1.3406700385,1.1430795724,514.3447281866,492.9789237960,506.5640614052,524.3535946001,517.8553697910
0.2442097642,1.3644841155,542.8917478947,501.1950024319,508.8972794169,483.3850807168,486.6472381549
0.2379321578,0.5231862054,440.3525161357,440.3259397631,448.5625985708,432.6961399879,453.2285679004
0.5209643069,0.5468057613,528.7538232663,509.5412491670,537.5859146131,541.7270148003,528.9776007979
-0.4810161376,1.1149655369,472.6077486076,488.3143231449,496.6975195180,480.9761013142,492.5400103444
0.2678986918,0.9171507196,509.9164522131,519.2557955067,515.1948018112,502.9243107172,513.7960164318
-0.6337633184,0.8718700549,507.1871001903,523.9240643261,538.7997060116,534.2434179765,535.3262838314
1.4470365307,0.5787390375,636.0835834919,633.4263824233,626.3672059092,607.6241488124,613.9065939551
0.8429230808,1.4471230388,552.8206256102,562.2726328250,541.5955819796,580.1215152195,549.2391539657
0.9943167385,1.3495186565,513.8857267786,524.7492136595,522.2340021776,523.3276452646,528.7586087635
-0.2052869503,1.2447325515,438.3529599916,462.4721258977,439.3686274406,430.9590730691,441.9662652806
0.0710798215,0.5739361609,473.5130015832,453.6676059506,447.0317919706,452.3045176067,481.9493516101
0.8295876943,0.9688295138,515.1546589276,475.9330060218,491.0016822639,494.6358560947,520.7349496275
-1.4751419476,0.9467869184,450.1193164516,437.8619220780,437.0703368173,463.7410829817,458.7433148864
0.8685274250,1.4497971712,460.4555407499,453.7030142312,453.5371233388,473.4206684547,462.9889113330
-1.0858387587,0.8956706682,504.3170557442,518.1816495189,507.0991587740,514.5504628540,497.0432474802
1.3922808249,0.8718764132,558.8127540361,516.5750863067,561.7235025071,545.9320232653,512.7685538947
0.0086095885,0.9183847602,555.9223322895,556.6829237626,564.6902032567,549.5682243705,559.0108031597
1.5560653502,0.7466721509,505.0549920643,468.2356068246,466.7567314673,473.5500964894,459.4605584898
1.7491104972,0.8153236490,493.2371520963,521.4087221518,489.2890602013,487.1153484943,498.5165039163
-1.5738222542,1.4500198013,461.1951821249,484.5818278287,467.4207953315,450.0562659337,451.2310011945
-0.6274553538,0.6879264547,455.0862899601,469.2567186660,454.8801388255,455.4313852151,440.3785373777
-0.6572752880,1.4034389665,487.7183396046,531.7351564520,520.6857088585,495.8919910723,503.4888748873
0.5289619376,1.0015468979,502.1437879542,525.1081258243,522.6848401155,494.6708835863,551.4205098007
0.7892037577,0.8607109708,512.8126921644,488.1558649163,501.3763405427,492.7695390932,505.7189250128
-2.2181186175,1.3227447912,459.0422458800,462.4646442195,461.7890477748,494.6919425296,449.5724160104
-0.8801171377,0.9441073977,403.1048316075,383.4730585012,390.1270193396,405.6457168756,392.1288720461
1.3404846565,1.3903306522,446.3390134751,425.1981643159,435.5232253891,469.8971057499,463.8153494610
0.1547534991,1.4360760376,508.1044006916,495.7271944300,545.0186423810,509.2871326534,494.8134308862
0.0395906319,0.8372420964,467.8209323769,494.1426067609,468.0239078673,484.3065669933,483.6940863591
-0.0561052688,1.0482181844,552.5450073021,512.4409048900,551.5413303498,526.7335592804,551.2267634969
-1.2424814483,0.9787959433,478.1590849268,499.6288923611,510.6616286670,491.7368765478,476.3308481771
-0.3577137067,0.9994561265,444.2103148645,461.7201222092,438.6563314311,427.3546340418,417.5804878803
-0.3171705383,1.4374251405,451.1183050702,481.6807950470,471.6195911562,462.7172882177,456.6154255256
-0.1113486923,0.9841808788,475.2699639724,474.3217887614,488.2853345829,510.2720032714,489.7279348878
1.0283984920,1.3307679063,483.2809962233,505.2528585454,491.8918263247,497.9706166074,495.3280163451
0.1400057705,1.2712180533,478.6124886427,460.6937193319,465.9954918069,502.8858515467,481.6508067602
-0.8271623745,0.6534841985,400.2961139417,404.3083568233,428.0880454538,399.7483575005,415.2345753229
-0.3796755327,0.6447963973,489.8486694785,491.2530303629,451.2807609284,476.2584892737,506.3546973915
-2.0921659980,0.7117327193,471.5824449619,483.2342855621,483.8936902746,487.0470381719,479.7381071946
-0.2657630252,1.1941082624,472.2362588498,497.3184956167,465.5243098601,468.8628428217,459.5576102202
-1.0843016748,0.9760440527,514.8314767499,549.1139332161,504.9155074892,516.4610890430,546.5432068662
-1.0033877551,0.5884518761,544.5031400352,501.7058088184,528.1195661820,531.9781336034,518.7260786317
-1.0583213808,1.3227830480,421.7405334629,402.1005407647,408.2802317246,437.3182343984,435.7162539125
0.0116255589,1.1753483720,481.1561777482,450.8918278075,466.0369749460,465.9739438788,472.3477644753
-0.8763421733,0.6862571798,465.0892875795,436.8107414694,468.4049065746,465.1399510777,498.0834443640
1.6178289206,0.5830310977,503.1292154143,513.7121558212,530.3719839599,531.5952524669,541.1769515059
0.8103261327,1.1538003886,547.1264297518,521.3747755992,560.3485802870,528.3346151568,554.0486914906
3.4650694472,0.5834232811,657.6763107201,645.8227918281,664.7226135451,660.1874449877,640.2597644218
0.7360872199,1.3915809363,538.6383327314,542.8174484626,551.5487460014,535.4239104985,584.3211287167
-1.1222158187,1.2575110663,462.8734454694,439.5892869644,434.7928517609,445.8777268138,461.7191953549
1.0211744452,1.2666896952,535.9717793618,523.7665019366,548.5909848725,555.4828736526,537.5545411754
0.3005297842,1.1647791020,505.4198252073,508.3729674892,544.4925508476,518.4193981672,511.2604626243
0.2080759703,1.1355663727,439.9443253624,470.8210880643,471.3504749286,485.9044497303,436.6236346551
1.8633434750,1.1108333829,446.8963107684,462.2512388368,483.7270244244,456.7023748759,477.1121706890
0.0287790068,1.3763961568,445.4506532590,469.6831395431,444.4732631008,451.5622874193,433.0515725711
-2.6618044210,0.8367611049,471.4712615698,470.0716080195,472.2173889430,455.2743711341,469.0940904507
-0.1370889748,0.5997863438,493.3317108681,480.6383740653,506.8723795507,473.5753283083,481.6595483911
0.4455978896,1.1627170194,496.3473006951,528.5014266016,529.4320881390,507.0851576207,504.5489319932
0.6488278245,1.2106428200,563.1328881155,564.5386886111,577.5936351143,584.2292710235,593.6998703185
-0.0006668007,0.6386458913,491.4410925188,475.0257454725,500.4323474364,467.9478041399,483.1720613093
-0.5513782131,0.9813698032,464.9763791107,450.3483887045,451.4827962194,474.8355484730,453.8509460581
0.0518917485,1.3261520779,526.6434149119,518.5889729469,521.0778160167,531.3100821422,485.0535712261
0.1479970256,1.4884710673,520.9543985908,523.9486547605,540.0567919902,547.5787223586,528.9528319291
0.4732282112,1.3800681157,457.7628115316,454.0349695892,470.8081017790,435.8357297552,481.0386754690
0.1445954897,0.6041645007,539.3835303464,516.0640927077,508.4612532835,523.2212673388,526.2641407997
-1.0056715697,1.2724176801,460.5026925290,452.9860418170,474.8120826245,465.3394966719,441.4857749819
-0.5689588480,0.9496867175,515.6651584169,507.3578271440,530.3663206471,507.3240871875,488.8478209023
-0.6389873657,1.4947959359,436.9913977941,461.9180819060,477.3118133103,474.3510827590,470.7389358936
0.0737680261,0.6915263999,471.9024723003,466.9027379940,447.2840842170,453.5632125746,444.3578897615
1.2501932055,0.7110438989,536.7962076836,567.7988802960,562.7074415033,548.4447248886,565.1983506901
-0.7916073249,0.5894742655,452.2316720845,469.8908127567,423.4175875695,473.4849978297,496.2740091649
-0.1515665280,1.3041819818,503.3032873144,498.1887131775,539.5410943373,509.9108443668,536.7897264736
1.3762180659,1.3441305181,484.1870362047,512.5183894510,518.2926085011,471.8326672264,534.4660359846
2.0743809152,1.2493699850,522.5445840650,511.9930181095,473.5965798701,507.3142830276,510.1395678648
1.0776015597,0.9470361480,630.1259014791,628.5570529801,606.3743199882,632.0589463088,631.9425905239
1.5128605260,1.4938760635,565.0103991851,515.4737124124,567.6615268660,552.6985065321,511.8238962135
0.1286853360,0.5183295035,487.5966027655,501.4679297021,484.9793862391,494.0022674568,494.7366817619
-1.3871918489,0.7847727961,505.5876702885,491.4625134432,513.4292221630,511.8930163901,505.8853740226
0.4331366494,0.6681559216,563.4328130600,542.3986894382,537.8040817210,550.5697883380,541.4419762223
-1.7905260537,0.7609692945,535.1072526813,520.1502146429,544.1185495066,520.9516346643,533.1688243801
0.5647789503,0.5203179035,533.8824410476,528.9724609075,521.0691194226,534.7319283324,494.1072678314
-1.1152385303,0.9084337971,521.1584210253,546.4178212882,522.8201199038,523.2495832127,522.0638097261
-0.8373215946,0.9477560401,456.1342839475,448.1648025874,453.3365603542,433.8470554277,429.1114983871
0.8666349524,0.8549592190,521.9412026474,519.3707412688,500.2808728267,541.7804870381,499.3122202320
